"No.","Time","Source","Destination","Protocol","Length","Info"
"2244","77.339332","192.168.1.3","117.232.96.199","ICMP","74","Echo (ping) request  id=0x0001, seq=5/1280, ttl=128 (reply in 2245)"
"2245","77.363158","117.232.96.199","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=5/1280, ttl=53 (request in 2244)"
"2250","78.372188","192.168.1.3","117.232.96.199","ICMP","74","Echo (ping) request  id=0x0001, seq=6/1536, ttl=128 (reply in 2251)"
"2251","78.399213","117.232.96.199","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=6/1536, ttl=53 (request in 2250)"
"2287","79.396963","192.168.1.3","117.232.96.199","ICMP","74","Echo (ping) request  id=0x0001, seq=7/1792, ttl=128 (reply in 2290)"
"2290","79.423387","117.232.96.199","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=7/1792, ttl=53 (request in 2287)"
"2291","80.428383","192.168.1.3","117.232.96.199","ICMP","74","Echo (ping) request  id=0x0001, seq=8/2048, ttl=128 (reply in 2292)"
"2292","80.455291","117.232.96.199","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=8/2048, ttl=53 (request in 2291)"
"2360","89.375129","192.168.1.3","159.65.147.193","ICMP","74","Echo (ping) request  id=0x0001, seq=9/2304, ttl=128 (no response found!)"
"2365","94.227948","192.168.1.3","159.65.147.193","ICMP","74","Echo (ping) request  id=0x0001, seq=10/2560, ttl=128 (no response found!)"
"2405","99.234491","192.168.1.3","159.65.147.193","ICMP","74","Echo (ping) request  id=0x0001, seq=11/2816, ttl=128 (no response found!)"
"2474","107.579618","192.168.1.3","183.81.169.238","ICMP","74","Echo (ping) request  id=0x0001, seq=12/3072, ttl=128 (reply in 2486)"
"2486","109.339974","183.81.169.238","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=12/3072, ttl=58 (request in 2474)"
"2493","109.358510","192.168.1.3","183.81.169.238","ICMP","74","Echo (ping) request  id=0x0001, seq=13/3328, ttl=128 (reply in 2518)"
"2518","109.499513","183.81.169.238","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=13/3328, ttl=58 (request in 2493)"
"2528","110.377342","192.168.1.3","183.81.169.238","ICMP","74","Echo (ping) request  id=0x0001, seq=14/3584, ttl=128 (reply in 2536)"
"2536","110.710762","183.81.169.238","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=14/3584, ttl=58 (request in 2528)"
"2549","111.388596","192.168.1.3","183.81.169.238","ICMP","74","Echo (ping) request  id=0x0001, seq=15/3840, ttl=128 (reply in 2559)"
"2559","111.532723","183.81.169.238","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=15/3840, ttl=58 (request in 2549)"
"2620","118.835878","192.168.1.3","45.148.10.242","ICMP","74","Echo (ping) request  id=0x0001, seq=16/4096, ttl=128 (reply in 2637)"
"2637","119.457255","45.148.10.242","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=16/4096, ttl=58 (request in 2620)"
"2643","119.857129","192.168.1.3","45.148.10.242","ICMP","74","Echo (ping) request  id=0x0001, seq=17/4352, ttl=128 (reply in 2652)"
"2652","120.047396","45.148.10.242","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=17/4352, ttl=58 (request in 2643)"
"2679","120.872515","192.168.1.3","45.148.10.242","ICMP","74","Echo (ping) request  id=0x0001, seq=18/4608, ttl=128 (reply in 2685)"
"2685","122.720283","45.148.10.242","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=18/4608, ttl=58 (request in 2679)"
"2696","122.736828","192.168.1.3","45.148.10.242","ICMP","74","Echo (ping) request  id=0x0001, seq=19/4864, ttl=128 (reply in 2699)"
"2699","122.882239","45.148.10.242","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=19/4864, ttl=58 (request in 2696)"
"2787","132.754002","192.168.1.3","45.119.84.81","ICMP","74","Echo (ping) request  id=0x0001, seq=20/5120, ttl=128 (reply in 2788)"
"2788","132.848343","45.119.84.81","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=20/5120, ttl=51 (request in 2787)"
"2797","133.780634","192.168.1.3","45.119.84.81","ICMP","74","Echo (ping) request  id=0x0001, seq=21/5376, ttl=128 (reply in 2798)"
"2798","133.875909","45.119.84.81","192.168.1.3","ICMP","74","Echo (ping) reply    id=0x0001, seq=21/5376, ttl=51 (request in 2797)"
"2799","134.807275","192.168.1.3","45.119.84.81","ICMP","74","Echo (ping) request  id=0x0001, seq=22/5632, ttl=128 (no response found!)"
